sentimento,categoria,resumo,prioridade,original
neutro,outro,Não há comentário para analisar.,baixa,"""aula"",""data"",""nps"",""comentario"""
neutro,outro,Aluno busca dicas para se destacar na área de tecnologia após mudar de carreira e sentir etarismo.,baixa,"""1"",""04/05/2026"",""86"",""Você acha que a curva de aprendizado é a mesma pra quem é mais jovem e pra quem é 30+ como eu? Gostaria de dicas, conselhos ou recomendações de como me aprofundar mais no conhecimento prático e me destacar na área, pois atualmente eu já estou sentindo etarismo na pele desde meus 30 anos, eu me sinto como um jovem ainda, mas as empresas parece que infelizmente querem recrutar apenas jovens. Eu venho da área financeira para tecnologias, que foi algo que sempre amei desde mais jovem, mas nunca trilhei por este caminho por falta de oportunidades, seja de aprendizado ou mercado de trabalho mesmo."""
positivo,conteudo,Aluno satisfeito com o curso e ansioso para aprender mais,baixa,"""1"",""04/05/2026"",""86"",""Tudo perfeito e ansioso para aprender mais sobre IA."""
positivo,outro,O aluno gostou do curso,baixa,"""1"",""04/05/2026"",""86"",""Tudo muito bom!"""
positivo,outro,Aluno está satisfeito com o curso até o momento,baixa,"""1"",""04/05/2026"",""86"",""Tudo certo ate aqui."""
positivo,conteudo,O aluno elogia a trilha da Alura por ter conteúdo relevante e aulas didáticas.,baixa,"""1"",""04/05/2026"",""86"",""Toda a trilha da Alura tem sido ótima. O conteúdo é relevante para o crescimento profissional e o desenvolvimento de novas habilidades. As aulas são didáticas, o que facilita o entendimento para quem não tem conhecimento."""
positivo,conteudo,O aluno conseguiu tirar suas dúvidas.,baixa,"""1"",""04/05/2026"",""86"",""Tirei dúvidas."""
positivo,professor,A professora é considerada super didática.,baixa,"""1"",""04/05/2026"",""86"",""Super didática."""
positivo,professor,A professora é tranquila e passa o conteúdo com clareza.,baixa,"""1"",""04/05/2026"",""86"",""Sou iniciante no estudo de IA e a professora é tranquila, domina o assunto e passa com clareza."""
negativo,tempo,A aula é muito lenta e causa sono,media,"""1"",""04/05/2026"",""86"",""Só que a aula vai um pouco lenta, e dá um pouco de sono."""
negativo,conteudo,O aluno prefere a Alura em relação ao curso oferecido.,media,"""1"",""04/05/2026"",""86"",""Sinceramente a Alura é melhor, obrigado Santander!!"""
negativo,tecnico,O aluno sugere a implementação de um sistema de legendas para incluir pessoas com deficiência auditiva.,media,"""1"",""04/05/2026"",""86"",""Seria muito bom implementar um sistema de legendas para poder incluir de um modo mais confortável pessoas com deficiência auditiva. A opção de legendas do Youtube é realmente deficiente."""
neutro,professor,Aluno sugere que a professora tenha um horário para responder perguntas no chat.,baixa,"""1"",""04/05/2026"",""86"",""Seria legal a professora ter um horário para responder as perguntas que fazemos no chat."""
negativo,tecnico,Aluno sentiu falta de suporte ativo durante as aulas.,media,"""1"",""04/05/2026"",""86"",""Senti falta de um suporte ativo durante as aulas."""
negativo,tempo,O aluno acha que o tempo do curso é muito curto e corrido.,media,"""2"",""11/05/2026"",""85"",""Uma hora é muito pouco e muito corrido."""
positivo,outro,Aluno está satisfeito com o curso,baixa,"""2"",""11/05/2026"",""85"",""Tudo ok."""
positivo,professor,O aluno elogia a didática do professor.,baixa,"""2"",""11/05/2026"",""85"",""Sem palavras, didática super fluida e eficiente para o aprendizado do aluno."""
neutro,tempo,O aluno acha que precisaria de mais tempo para a aula de segunda-feira.,baixa,"""2"",""11/05/2026"",""85"",""Se tivesse mais tempo para essa aula de segunda feira talvez seria melhor."""
neutro,professor,O aluno sugere a necessidade de duas pessoas para conduzir a aula de forma mais dinâmica.,baixa,"""2"",""11/05/2026"",""85"",""Repito há necessidade de 2 pessoas. A professora para revisar o conteúdo e uma pessoa focada apenas no chat trocando ideias com a professora e passando as principais dúvidas. Ela para muito para ler o chat; quando alguém faz isso torna a aula e a revisão bem mais dinâmica."""
positivo,professor,A professora foi elogiada por ser muito boa,baixa,"""2"",""11/05/2026"",""85"",""Professora muito boa."""
positivo,professor,A professora Elaine trouxe assuntos legais e mostrou na prática o que o aluno estudou,baixa,"""2"",""11/05/2026"",""85"",""Professora Elaine trouxe muitos assuntos legais, mostrou na prática o que estudei na semana 2."""
positivo,professor,O aluno elogia a didática do professor e a utilização de exemplos em aula.,baixa,"""2"",""11/05/2026"",""85"",""Professor com boa didática, trazendo exemplos em aula."""
positivo,outro,Aluno parabeniza o curso,baixa,"""2"",""11/05/2026"",""85"",""PARABÉNS!"""
positivo,outro,Aluno considerou o curso ótimo,baixa,"""2"",""11/05/2026"",""85"",""Ótimo."""
positivo,outro,O aluno gostou do curso,baixa,"""2"",""11/05/2026"",""85"",""Ótima."""
positivo,conteudo,Aluno elogia a aula,baixa,"""2"",""11/05/2026"",""85"",""Ótima Aula. Obrigado!!"""
positivo,conteudo,O aluno elogiou a aula e o conteúdo transmitido.,baixa,"""2"",""11/05/2026"",""85"",""Ótima aula, conteúdo muito bom transmitido com firmeza e propriedade. Alura nota 1000."""
positivo,conteudo,A aula foi considerada ótima,baixa,"""2"",""11/05/2026"",""85"",""Ótima aula."""
negativo,tempo,O aluno acha o tempo do curso muito curto para a quantidade de informação,media,"""2"",""11/05/2026"",""85"",""O tempo é muito curto para tanta informação."""
positivo,conteudo,Aluno gostou do conteúdo e sugere incluir uso auxiliar na programação e testes de software,baixa,"""3"",""18/05/2026"",""94"",""Super interessante, gostaria de ver uso auxiliar na programação e testes de software."""
positivo,outro,Aluno gostou do curso,baixa,"""3"",""18/05/2026"",""94"",""Show!!"""
positivo,tempo,"O aluno gostou das aulas, mas acha que a duração é curta.",baixa,"""3"",""18/05/2026"",""94"",""Sensacional as aulas, pena que é uma hora só."""
neutro,conteudo,O aluno solicita mais informações sobre o Google AI Studio para produção de texto.,baixa,"""3"",""18/05/2026"",""94"",""Se puder mostrar melhor como funciona o Google AI Studio para produção de texto, para quem trabalha com copys de muitos clientes."""
positivo,conteudo,"O aluno está satisfeito com o curso, apesar de estar atrasado.",baixa,"""3"",""18/05/2026"",""94"",""Se bem estou atrasado em 1 semana, está sendo muito gratificante e edificante."""
positivo,professor,A professora foi elogiada,baixa,"""3"",""18/05/2026"",""94"",""Professora excelente."""
neutro,conteudo,"Aluno não entendeu o conteúdo, mas vai continuar",baixa,"""3"",""18/05/2026"",""94"",""Parabéns!! Não estou entendendo, mas vou focar..."""
positivo,conteudo,Aluno elogia o conteúdo do curso,baixa,"""3"",""18/05/2026"",""94"",""Parabéns pelo conteúdo."""
positivo,conteudo,O aluno gostou do curso,baixa,"""3"",""18/05/2026"",""94"",""O curso está top!!!"""
negativo,conteudo,Aluno está tendo dificuldade em acompanhar o curso de Python.,media,"""3"",""18/05/2026"",""94"",""Não conseguindo acompanhar Python mas vamos que vamos."""
positivo,conteudo,O aluno elogia a aula por ser profunda e interessante.,baixa,"""3"",""18/05/2026"",""94"",""Muito bom, não tenho nada a reclamar. Aula muito profunda e interessante, contribui muito mesmo para o aprendizado do curso."""
positivo,conteudo,O aluno elogia o conteúdo e a professora do curso,baixa,"""3"",""18/05/2026"",""94"",""Muito bom conteúdo e professora com bom conhecimento."""
positivo,conteudo,Aluno elogia a última aula do curso,baixa,"""3"",""18/05/2026"",""94"",""Muito boa essa última aula. Buscando conhecimentos."""
positivo,professor,A aula da professora Elaine Rocha foi muito boa.,baixa,"""3"",""18/05/2026"",""94"",""Muito boa aula da Elaine Rocha de hoje."""
positivo,professor,Aula excelente com professora didática e atenciosa,baixa,"""3"",""18/05/2026"",""94"",""Mais uma excelente aula do curso! A professora é muito didática e clara, além de ser muito atenciosa."""
positivo,conteudo,O aluno considerou o conteúdo informativo.,baixa,"""4"",""25/05/2026"",""88"",""Tudo certo, bem informativo."""
neutro,conteudo,O aluno achou o conteúdo extenso e sugere uma abordagem mais didática.,baixa,"""4"",""25/05/2026"",""88"",""Só achei muito conteúdo extenso e trazer mais didático."""
positivo,outro,O aluno elogia o curso,baixa,"""4"",""25/05/2026"",""88"",""Sempre top."""
positivo,conteudo,O aluno está satisfeito com as aulas do curso.,baixa,"""4"",""25/05/2026"",""88"",""Quero continuar aprendendo, as aulas estão muito boas."""
positivo,professor,Aluno elogia os professores,baixa,"""4"",""25/05/2026"",""88"",""Parabéns pelas professores."""
positivo,conteudo,O aluno considerou o curso ótimo.,baixa,"""4"",""25/05/2026"",""88"",""Ótimo curso."""
positivo,tecnico,Aluno elogia a aula e o painel do Alura,baixa,"""4"",""25/05/2026"",""88"",""Ótima aula, e o painel do Alura é o melhor que já usei, muito obrigado."""
positivo,conteudo,O aluno elogia o conteúdo e os professores do curso.,baixa,"""4"",""25/05/2026"",""88"",""Os professores demonstraram grande domínio e capacidade de engajamento, incentivando a participação ativa da turma, enquanto o conteúdo se provou extremamente atual e indispensável para verdadeiramente multiplicar o potencial da inteligência artificial no ambiente de negócios."""
positivo,outro,Aluno está empenhado e assume responsabilidade pelo seu progresso.,baixa,"""4"",""25/05/2026"",""88"",""O problema é meu. Estou empenhado."""
negativo,tecnico,Aluno está tendo dificuldade em encontrar respostas para dúvidas das aulas,alta,"""4"",""25/05/2026"",""88"",""O pessoal do time responde quando as dúvidas das aulas, e onde vemos as respostas?"""
neutro,outro,Aluno sugere a participação do mascote nas aulas,baixa,"""4"",""25/05/2026"",""88"",""O mascote (felino) pode participar da aula."""
positivo,conteudo,A aula foi muito produtiva,baixa,"""4"",""25/05/2026"",""88"",""A aula foi muito produtiva."""
neutro,tecnico,Aluno solicita demonstração de como consumir a API do Groq pelo VS Code,baixa,"""4"",""25/05/2026"",""88"",""Se possível, mostrar como consumir a API do Groq pelo VS Code."""
negativo,tempo,Aluna está atrasada na trilha e não conseguiu aprender tudo.,media,"""4"",""25/05/2026"",""88"",""Não aprendi tudo pq estou atrasada na trilha."""
neutro,outro,Aluno não tem nada a comentar no momento.,baixa,"""4"",""25/05/2026"",""88"",""Nada no momento."""
positivo,conteudo,Aluno está gostando do aprendizado,baixa,"""4"",""25/05/2026"",""88"",""Muito legal, estou gostando do aprendizado."""
positivo,outro,O aluno gostou do curso,baixa,"""4"",""25/05/2026"",""88"",""Muito bom."""
positivo,outro,O aluno elogia o curso,baixa,"""4"",""25/05/2026"",""88"",""Muito bom como sempre."""
positivo,outro,Aluno elogia a experiência de aprender com a instituição,baixa,"""4"",""25/05/2026"",""88"",""Muito bom aprender com vocês!"""
positivo,outro,O aluno gostou do curso,baixa,"""4"",""25/05/2026"",""88"",""Muito bom."""
negativo,conteudo,Aluna se sente perdida,alta,"""4"",""25/05/2026"",""88"",""Me sinto bem perdida."""
neutro,tempo,O aluno solicita mais tempo de aula ao vivo.,baixa,"""4"",""25/05/2026"",""88"",""Mais tempo aula ao vivo."""
positivo,conteudo,"O aluno gostou do curso, mas precisa de aplicação prática mais relevante à sua realidade no mercado de criptoativos.",media,"""4"",""25/05/2026"",""88"",""Gostei muito mas preciso aplicar práticas reais e minha realidade é diferente demais da maioria — uso IA pra me ajudar a trabalhar no mercado de criptoativos. Tenho um prompt e uso o GPT, mas quero aprender sobre GPT e Claude para gestar menos e não variar nem alucinar no meu objetivo."""
neutro,tempo,"O aluno gostou do curso, mas achou que ele acabou rápido demais.",baixa,"""4"",""25/05/2026"",""88"",""Gostei bastante, mas acaba rápido infelizmente."""
neutro,outro,Aluno gostaria de ver o Codex.,baixa,"""4"",""25/05/2026"",""88"",""Gostaria de ver o Codex."""
neutro,conteudo,Aluno deseja um spoiler sobre a prova para se preparar melhor,baixa,"""4"",""25/05/2026"",""88"",""Gostaria de ter um spoiler de como vai ser a prova para me preparar melhor."""
positivo,outro,O aluno teve uma experiência maravilhosa no curso,baixa,"""4"",""25/05/2026"",""88"",""Foi uma experiência maravilhosa!"""
positivo,professor,A professora Elaine é dinâmica e atenciosa,baixa,"""4"",""25/05/2026"",""88"",""Explicação da professora Elaine sempre bem dinâmica e bem atenciosa a todos!"""
positivo,professor,A alumna elogia a professora por sua habilidade em esclarecer dúvidas de forma clara e objetiva.,baixa,"""4"",""25/05/2026"",""88"",""Excelente professora, domina o assunto e esclarece dúvidas de forma clara e objetiva. Conteúdo agregador. Obrigada Alura."""
positivo,conteudo,Aluno elogia o curso e pergunta sobre acesso a cursos com lives ao vivo após assinatura.,baixa,"""5"",""01/06/2026"",""93"",""Vocês são incríveis. Por favor ao fazer a assinatura dos cursos, terei acesso a cursos nesse formato com lives ao vivo? Poderei até refazer esse curso?"""
positivo,conteudo,"Aluno tem dificuldade com comandos de códigos, mas gosta da professora",baixa,"""5"",""01/06/2026"",""93"",""Tenho dificuldade na parte de comandos de códigos com a API, mas vou rever desde os primeiros vídeo. A Profa Aline é super simpática e explica bem."""
neutro,conteudo,O aluno está tendo dificuldade em aplicar a lógica aprendida na montagem de códigos.,media,"""5"",""01/06/2026"",""93"",""Sou totalmente iniciante, e como o curso não exigia pré requisito, achei que seria mais fácil de aprender, estou na semana quatro, por falta de tempo e porque, tenho que voltar em alguns vídeos, para ARTIFICIAL Meu gargalo hoje é a montagem de códigos, entendi a lógica, mas não consigo aplicar."""
neutro,outro,Aluno é novo na área e não tem formação em TI,baixa,"""5"",""01/06/2026"",""93"",""Sou novo na área, no sou da TI"""
negativo,conteudo,O aluno sente falta de uma linguagem mais natural para iniciantes.,media,"""5"",""01/06/2026"",""93"",""Sinto falta de uma linguagem um pouco mais natural para alunos iniciantes na área. As vezes a passagem pelas telas e códigos, fica um pouco confusa."""
negativo,conteudo,O aluno acha que o conteúdo está sendo repetitivo e se tornando confuso.,media,"""5"",""01/06/2026"",""93"",""Repetindo o que já disse antes está ficando denso o assunto e me dando medo."""
positivo,professor,A professora tem ótimo conteúdo e domínio do que está ensinando.,baixa,"""5"",""01/06/2026"",""93"",""Professora com otimo conteudo e dominio do que esta ensinando"""
positivo,professor,Aluno elogia a professora,baixa,"""5"",""01/06/2026"",""93"",""Parabéns a professora! ARTIFICIAL Gratidão!"""
neutro,tecnico,Aluno procura por materiais de aula.,alta,"""5"",""01/06/2026"",""93"",""Onde consigo as apresentações das aulas e os notebooks?"""
positivo,professor,Agradecimento pela aula,baixa,"""5"",""01/06/2026"",""93"",""obrigada pela aula."""
positivo,conteudo,Aluno está ansioso para aprender sobre agentes de I.A.,baixa,"""5"",""01/06/2026"",""93"",""Não vejo a hora de começar a aprender a usar agentes de I.A."""
positivo,conteudo,Aluno gostou de aprender sobre as ferramentas atuais e está ansioso para a próxima aula prática.,baixa,"""5"",""01/06/2026"",""93"",""Muito bom aprender sobre as ferramentas que estão sendo usadas atualmente. Na espera da próxima aula em que vamos novamente colocar a mão na massa e realizar algumas integrações com as fe"""
positivo,conteudo,Aluno elogia a aula,baixa,"""5"",""01/06/2026"",""93"",""Muito boa a aula!!"""
neutro,tempo,"O aluno está tendo dificuldade com o tempo, mas está se organizando para lidar com isso.",baixa,"""5"",""01/06/2026"",""93"",""Meu problema é o tempo mas estou me organizando pra me organizar."""
positivo,conteudo,O aluno elogia a aula e o exemplo do roadmap que virou site.,baixa,"""5"",""01/06/2026"",""93"",""Mais uma vez, muito boa a aula. Achei tão legal o exemplo do roadmap que virou site. Eu tenho de um agente que criei em outro curso e vou testar transformar em site qualquer hora. Muito obrigada ARTIFICIAL compartilhar seu conhecimento com a gente e expandir nosso horizonte sobre esse universo, muito mais amplo do que aparenta à primeira vista."""
positivo,outro,O aluno considerou o curso incrível.,baixa,"""5"",""01/06/2026"",""93"",""Incrível"""
positivo,professor,O aluno gosta do método e da técnica usada pela professora na aula.,baixa,"""5"",""01/06/2026"",""93"",""Gosto do método e da técnica usada na aula. A oportunidade de feedbacks e a forma dinâmica como a professora responde ao chat passando o conteúdo ao mesmo tempo também prende a atenção ARTIFICIAL bom."""
neutro,conteudo,"O aluno gostou do conteúdo, mas acha que deveria ser mais focado e com mais exemplos.",media,"""5"",""01/06/2026"",""93"",""Gostei do conteúdo e professores ARTIFICIAL Sou novo em conhecimento de IA , mas me parece que o conteúdo está sendo aplicado de tudo um pouco! Acredito que devia ser mais focando , explicando: muitas ferramentas de ia sendo misturadas, quando deveria utilizar apenas uma com mais exemplos!"""
positivo,conteudo,"A aula foi boa e motivadora, apesar de não ser sobre IA.",baixa,"""5"",""01/06/2026"",""93"",""Foi uma aula de preparação mental para o restante da trilha, não uma aula para ensinar IA em si. Mesmo assim, foi muito boa, deu uma animada para assistir as próximas aulas."""
positivo,outro,O aluno gostou do curso,baixa,"""5"",""01/06/2026"",""93"",""Foi top"""
positivo,conteudo,O aluno considerou o conteúdo inovador e esclarecedor.,baixa,"""5"",""01/06/2026"",""93"",""Foi bem inovador e explicativo, deu uma Luz para às aulas que ainda não tive e pelas que já tive, realmente valeu a pena, foi muito esclarecidor."""
positivo,conteudo,"Aluna tem dificuldade em aprender códigos, mas está grata pelo apoio.",baixa,"""5"",""01/06/2026"",""93"",""Eu estou com um pouco de dificuldade em aprender os códigos. Não sou programadora, sou da área de texto, mas desejo expandir também nesse universo. Quero me aprimorar na IA. Grata pelos apr"""
neutro,conteudo,O aluno acha que a parte do Google AI Studio foi superficial.,baixa,"""5"",""01/06/2026"",""93"",""Eu acho que a parte do Google AÍ Studio ficou um pouco superficial. Eu estava esperando testar a parte build dele e depois integrar com a API. No mais eu gostei."""
positivo,outro,Aluna está satisfeita em participar da jornada,baixa,"""5"",""01/06/2026"",""93"",""Estou muito satisfeita em.oartixipar dessa jornada"""
neutro,conteudo,O aluno está em dúvida se o curso exige conhecimento de programação para ser utilizado.,media,"""5"",""01/06/2026"",""93"",""Estou em duvida, aqui vejo mais coisas para programador, quem ja desenvolve fica mais facil, mas em outro curso falaram q nao seria preciso conhecer programação para usar. Afinal usa ou nao usa?"""
neutro,tempo,Aluno tem pouco tempo e está preocupado com o acesso ao curso após a data limite.,media,"""5"",""01/06/2026"",""93"",""Estou com muito pouco tempo para ser dedica e percebi que dia 26/06 não terá mais acesso. Devo continua vendo tudo ou posso acelerar? Estou na semana dois agora!!!"""
neutro,conteudo,"Aluna elogia a didática, mas está perdida no curso",media,"""5"",""01/06/2026"",""93"",""Estou bem perdida, a didática é excelente porém estou perdida"""
negativo,conteudo,A aula não teve uma evolução progressiva,media,"""6"",""08/06/2026"",""91"",""Sentir que a aula não teve uma evolução progressiva hoje."""
positivo,professor,Aluno elogia o professor,baixa,"""6"",""08/06/2026"",""91"",""Parabéns prof você é 10 e bem clara as explicações"""
positivo,professor,A professora e o método de ensino são ótimos,baixa,"""6"",""08/06/2026"",""91"",""Otima professora, e ótimo método de ensino..."""
positivo,conteudo,O aluno gostou dos exemplos apresentados,baixa,"""6"",""08/06/2026"",""91"",""Os exemplos foram ótimos!!"""
neutro,conteudo,"Aluna gostou do curso, mas está tendo dificuldade em entender alguns termos e comandos de programação.",media,"""6"",""08/06/2026"",""91"",""olá sou aluna Santander /Alura na trilha Especialista em Inteligência Artificial, gostando muito, mas ainda um pouco confusa com os termos e parte dos comandos na programação. Estou revendo as au ARTIFICIAL disponibilizadas no youtube para buscar ter mais compreensão. Acho que para podermos entender melhor, no caso para pessoa como eu que não são da área de programação, seria um pouco melho aula, para não ser tão corrida. gratidão."""
negativo,conteudo,Aluno não gostou dos relatórios feitos pela Elaine,media,"""6"",""08/06/2026"",""91"",""Não porque a Elaine depois faz esses relatorios estranhos...."""
positivo,professor,Aluno elogia a professora por sua forma de responder às dúvidas e abordar os assuntos.,baixa,"""6"",""08/06/2026"",""91"",""Não consegui assistir a aula ao vivo hoje, mas assisti depois. Adorei o jeito calmo da professora de responder os alunos, os assuntos como ela aborda, dúvidas de certos assuntos como a prova, etc. Mu ARTIFICIAL professora."""
positivo,conteudo,O aluno gostou da criação de aplicação com IA durante a aula.,baixa,"""6"",""08/06/2026"",""91"",""Muito legal a criação de aplicação direto com IA, com trabalho de prompts, no paralelo a aula fui criando algo para ser usado na minha área de atuação. Muito promissor!"""
positivo,conteudo,O aluno elogia o conteúdo da aula por ser completo e complementar.,baixa,"""6"",""08/06/2026"",""91"",""Muito bom o conteúdo. Além do assunto principal da aula, a professora trouxe outros pontos que complementam a aula."""
positivo,conteudo,O aluno gostou da aula,baixa,"""6"",""08/06/2026"",""91"",""Muito bom a aula"""
positivo,conteudo,Aluno elogia a aula,baixa,"""6"",""08/06/2026"",""91"",""Muito boa a aula"""
positivo,conteudo,O aluno gostou da aula,baixa,"""6"",""08/06/2026"",""91"",""Maravilha de aula"""
positivo,professor,Aula excelente com professora explicativa e didática,baixa,"""6"",""08/06/2026"",""91"",""Mais uma excelente aula deste curso. A professora sempre muito explicativa e didática."""
positivo,conteudo,O aluno gostou da aula e achou o exercício no Google AI Studio interessante.,baixa,"""6"",""08/06/2026"",""91"",""Mais uma boa aula! Achei interessante o exercício no Google AI Studio com os nossos feedbacks. À primeira vista, o site pareceu bem funcional e ainda responsivo. E ficou bem visual para montar plan ARTIFICIAL analisar tudo. Eu tentei usar o Cursor para fazer o desafio do Fabrício, mas não consegui e voltei para o VS Code. Vou testar uma das ferramentas apresentadas hoje para, quem sabe, me ajudar com iss"""
negativo,conteudo,O aluno sugere a utilização de português padrão formal no material do curso devido à linguagem atual ser confusa.,media,"""6"",""08/06/2026"",""91"",""Houve mais uma mudança no material os textos vem com uma linguagem que mais atrapalha que ajuda. Se possível sugiro usar o português padrão formal no material, que aliás é a nossa língua!"""
positivo,conteudo,Aluno gostou do conteúdo do curso,baixa,"""6"",""08/06/2026"",""91"",""Gostei muito do conteúdo"""
positivo,conteudo,Aluno gostou de aprender sobre IA com estudo do Google,baixa,"""6"",""08/06/2026"",""91"",""Gostei muito de aprender mais sobre IA estudio do Google"""
positivo,outro,O aluno considerou o curso fantástico.,baixa,"""6"",""08/06/2026"",""91"",""Fantástico"""
positivo,conteudo,O aluno elogiou a aula como excelente.,baixa,"""6"",""08/06/2026"",""91"",""Execelete Aula"""
positivo,professor,Aluno elogia a didática da professora,baixa,"""6"",""08/06/2026"",""91"",""Estou com delei de aulas comecei 4 semanas após o início mas a didática da professora é ótima. E esse universo está me encanta do"""
positivo,conteudo,Aluno está aprendendo bastante,baixa,"""6"",""08/06/2026"",""91"",""Estou aprendendo bastante"""
neutro,conteudo,"A aula foi boa, mas o vocabulário difícil pode ser um problema para alguns alunos.",media,"""6"",""08/06/2026"",""91"",""Essa aula foi muito boa! Bem prática e ptt euiditiva!! Só segue com vocabulário difícil para quem não é da área. Isso deveria ser revisto, é o que leva na Alura como um todo, com raras excessões."""
positivo,tempo,"Aluno está atrasado devido ao ritmo do dia a dia, mas está satisfeito com o curso.",baixa,"""6"",""08/06/2026"",""91"",""Devido ao meu ritmo do dia a dia estou meio atrasado, mas até agora muito bom o curso."""
positivo,conteudo,O aluno gostou dos conteúdos passados de modo dinâmico e inovador.,baixa,"""6"",""08/06/2026"",""91"",""Conteúdos passados de modo dinâmico e inovador e atualizado. bem interessante!"""
negativo,tempo,O aluno deseja que as aulas on-line sejam realizadas mais cedo.,media,"""6"",""08/06/2026"",""91"",""Aula on-line deveria ser mais logo!"""
positivo,conteudo,Aula foi boa e informativa,baixa,"""6"",""08/06/2026"",""91"",""Aula muito boa e informativa"""
positivo,conteudo,O aluno gostou da aula,baixa,"""6"",""08/06/2026"",""91"",""AULA MUITO BOA"""
