"aula","data","nps","comentario"
"1","04/05/2026","86","Gostei muito da introdução ao curso. Ficou claro o que vamos aprender ao longo das semanas."
"1","04/05/2026","86","A explicação sobre LLMs foi ótima, mas o ritmo ficou um pouco rápido no começo. Precisei rebobinar algumas vezes."
"1","04/05/2026","86","Estou vindo da área financeira e nunca tinha visto nada de IA. Consegui acompanhar tudo bem!"
"1","04/05/2026","86","Excelente aula de abertura. A professora explicou de forma muito didática e contextualizada."
"1","04/05/2026","86","Tive problemas técnicos no início - meu microfone não funcionou durante 10 minutos, mas depois resolveu."
"1","04/05/2026","86","Achei que poderia ter mais exemplos práticos já na primeira aula. Ficou muito teórico."
"1","04/05/2026","86","Muito bom! O tempo passou rápido demais, queria que tivesse durado mais."
"1","04/05/2026","86","Conteúdo relevante e bem estruturado. Estou animado para as próximas aulas."
"1","04/05/2026","86","A parte de configuração do ambiente demorou um pouco mais do que eu esperava. Perdi uns 20 minutos nisso."
"1","04/05/2026","86","Ótima introdução. Fez sentido começar com a história e evolução dos modelos de linguagem."
"1","04/05/2026","86","Gostaria de um PDF com os slides para revisar depois da aula. O conteúdo é denso."
"1","04/05/2026","86","Muito motivador! Senti que estou no lugar certo para aprender IA de verdade."
"1","04/05/2026","86","A comparação entre GPT, Gemini e Claude foi muito útil para entender o mercado atual."
"2","11/05/2026","85","A aula de prompt engineering foi reveladora. Não imaginava que a forma de perguntar fazia tanta diferença."
"2","11/05/2026","85","Adorei os exemplos ao vivo. Ver o modelo responder diferente dependendo do prompt foi muito esclarecedor."
"2","11/05/2026","85","A parte de chain-of-thought poderia ter mais exemplos práticos. Fiquei com dúvida na aplicação real."
"2","11/05/2026","85","Excelente! Já usei as técnicas de few-shot no meu trabalho na semana seguinte."
"2","11/05/2026","85","A demonstração com o Claude ao vivo foi incrível. Muito didática e bem escolhida."
"2","11/05/2026","85","Gostaria de mais exercícios práticos para fazer em casa depois da aula."
"2","11/05/2026","85","O conteúdo foi denso mas bem explicado. Precisei pausar o vídeo algumas vezes para absorver."
"2","11/05/2026","85","Aprendi muito! Few-shot prompting era algo que eu nunca tinha ouvido falar antes."
"2","11/05/2026","85","A professora domina muito bem o assunto e passa segurança na explicação."
"2","11/05/2026","85","Tive dificuldade de acompanhar quando o código apareceu na tela. A letra estava muito pequena."
"2","11/05/2026","85","Cada conceito foi bem contextualizado com casos de uso reais. Isso ajuda muito."
"2","11/05/2026","85","Achei a aula um pouco longa. Talvez dividir em duas partes menores fosse melhor."
"2","11/05/2026","85","Os templates de prompt compartilhados são muito úteis no dia a dia. Obrigado!"
"2","11/05/2026","85","Conteúdo de altíssima qualidade. Um dos melhores módulos que já fiz em curso online."
"2","11/05/2026","85","O exemplo do prompt para análise de contratos foi muito aplicável para a minha área."
"3","18/05/2026","94","Finalmente entendi como usar a API do Groq! A explicação passo a passo foi perfeita."
"3","18/05/2026","94","Sou iniciante em Python e consegui acompanhar tudo sem dificuldade. Isso é um ótimo sinal!"
"3","18/05/2026","94","A parte sobre variáveis de ambiente e segurança de chaves API foi muito importante. Bom que cobriram isso."
"3","18/05/2026","94","Saí daqui com o código funcionando na minha máquina. Sensação ótima!"
"3","18/05/2026","94","Gostei da comparação entre as diferentes APIs - Groq, OpenAI e Google. Ficou clara a diferença."
"3","18/05/2026","94","Tive problema ao instalar as dependências no Windows. Seria útil ter um guia de troubleshooting para Windows."
"3","18/05/2026","94","A velocidade da API do Groq é impressionante! Não esperava respostas tão rápidas."
"3","18/05/2026","94","O exemplo do chatbot simples foi muito motivador. Vi que dá para fazer coisas úteis com poucas linhas."
"3","18/05/2026","94","Ótima didática. Cada linha de código foi explicada com calma e clareza."
"3","18/05/2026","94","Gostaria que o material de apoio estivesse disponível antes da aula para preparar o ambiente."
"3","18/05/2026","94","A sessão de perguntas ao final foi muito rica. As dúvidas dos colegas me ajudaram também."
"3","18/05/2026","94","Incrível como em poucas linhas de Python já conseguimos resultados práticos com IA."
"3","18/05/2026","94","A professora respondeu todas as perguntas com muita paciência. Isso faz toda diferença."
"3","18/05/2026","94","Muito bem estruturada. Saí da aula sabendo exatamente o que fazer para praticar em casa."
"3","18/05/2026","94","A parte de tratamento de erros na chamada de API foi inesperadamente útil. Ótima adição."
"4","26/05/2026","88","LangChain foi o tema que eu mais estava esperando. A aula superou as expectativas!"
"4","26/05/2026","88","O conceito de chains ficou muito claro com os exemplos visuais no slide."
"4","26/05/2026","88","Achei complexo no começo, mas depois de ver o exemplo prático fez todo sentido."
"4","26/05/2026","88","A sintaxe com o operador pipe ( | ) é elegante demais. Me apaixonei pela abordagem."
"4","26/05/2026","88","Gostaria de mais exemplos de aplicações reais usando LangChain em ambiente de produção."
"4","26/05/2026","88","A parte de PromptTemplate foi bem explicada. Ótimo para organizar o código e reusar prompts."
"4","26/05/2026","88","Tive dificuldade em entender quando usar LangChain versus chamar a API diretamente."
"4","26/05/2026","88","A abstração que o LangChain oferece vai agilizar muito meus projetos daqui pra frente."
"4","26/05/2026","88","O exemplo de análise de NPS desenvolvido ao vivo foi muito criativo e útil."
"4","26/05/2026","88","Senti falta de uma comparação com outras frameworks como LlamaIndex."
"4","26/05/2026","88","A professora explicou as vantagens e limitações do LangChain de forma honesta. Isso é raro."
"4","26/05/2026","88","O conteúdo foi muito denso para uma única aula. O ritmo foi bom mas absorção foi difícil."
"4","26/05/2026","88","Os slides ficaram disponíveis depois? Preciso revisar a parte de output parsers."
"4","26/05/2026","88","Melhor aula do curso até agora! O conteúdo foi muito bem estruturado."
"4","26/05/2026","88","O momento que a professora debugou ao vivo foi ótimo. Aprendemos a lidar com erros reais."
"4","26/05/2026","88","Saí dessa aula muito mais confiante para minha transição de carreira para a área de IA."
"4","26/05/2026","88","Gostaria de um projeto integrador que usasse tudo que aprendemos até aqui."
"4","26/05/2026","88","A demonstração da chain de extração e análise foi muito bem elaborada e didática."
"4","26/05/2026","88","Estou impressionado como LangChain simplifica tarefas que seriam complexas do zero."
"4","26/05/2026","88","O exemplo do analisador de documentos foi prático demais. Vou usar no meu trabalho."
"4","26/05/2026","88","A comparação entre StrOutputParser e JsonOutputParser me abriu a cabeça."
"4","26/05/2026","88","Achei que o ritmo de codificação ao vivo poderia ser um pouquinho mais devagar."
"4","26/05/2026","88","Adorei a parte de encadeamento de prompts. É exatamente o que precisava para o meu projeto."
"4","26/05/2026","88","A aula durou um pouco mais do que o previsto mas valeu cada minuto extra."
"4","26/05/2026","88","A professora explicou as versões do LangChain e as mudanças de API de forma muito clara."
"4","26/05/2026","88","O exemplo com leitura de PDF foi muito interessante e direto ao ponto."
"4","26/05/2026","88","Gostaria de ver um projeto completo de ponta a ponta usando LangChain numa próxima aula."
"4","26/05/2026","88","A didática é excelente. Nunca me senti perdida mesmo com os conceitos mais complexos."
"4","26/05/2026","88","Seria ótimo ter um repositório de exemplos de chains para consultar no dia a dia."
"5","01/06/2026","93","CrewAI é simplesmente incrível! Ver os agentes conversando entre si foi muito emocionante."
"5","01/06/2026","93","A metáfora de equipe de especialistas para entender os agentes foi perfeita e muito intuitiva."
"5","01/06/2026","93","Essa foi a melhor aula do curso até agora. O nível de profundidade foi ideal."
"5","01/06/2026","93","Gostei muito da discussão sobre quando usar agentes versus chains simples. Muito prático."
"5","01/06/2026","93","O conceito de backstory dos agentes afetando o output foi uma surpresa muito positiva!"
"5","01/06/2026","93","Tive problema com o CrewAI no Mac M2. Seria bom ter um guia de instalação específico para Apple Silicon."
"5","01/06/2026","93","A demo com o analista e o consultor pedagógico foi muito bem escolhida como exemplo."
"5","01/06/2026","93","Finalmente entendi a diferença entre tasks e agentes no CrewAI. Estava confuso antes."
"5","01/06/2026","93","A parte de Process.sequential versus Process.hierarchical ficou um pouco rápida demais."
"5","01/06/2026","93","O verbose=True durante a execução deixa tudo muito mais transparente. Ótima dica!"
"5","01/06/2026","93","É impressionante como com pouco código conseguimos tanto resultado com agentes."
"5","01/06/2026","93","Gostaria de ver um exemplo com mais de dois agentes colaborando em uma tarefa complexa."
"5","01/06/2026","93","A professora claramente usa CrewAI em projetos reais. Isso passa muito mais credibilidade."
"5","01/06/2026","93","O tempo de execução dos agentes é bem alto. Como otimizar isso para produção?"
"5","01/06/2026","93","Aula perfeita do começo ao fim. Não tenho críticas a fazer."
"5","01/06/2026","93","A comparação entre CrewAI, AutoGen e LangGraph foi muito útil para entender o ecossistema."
"5","01/06/2026","93","O exemplo de análise de NPS com múltiplos agentes foi muito mais rico do que esperava."
"5","01/06/2026","93","Saí dessa aula querendo reescrever todos os meus scripts usando agentes inteligentes!"
"5","01/06/2026","93","A sessão de perguntas e respostas ao final foi muito rica e bem conduzida."
"5","01/06/2026","93","Do ponto de vista técnico, foi exatamente o nível que eu precisava para evoluir."
"5","01/06/2026","93","A professora explicou muito bem a diferença entre role, goal e backstory de cada agente."
"5","01/06/2026","93","O CrewAI simplifica muito a orquestração de agentes. Fiquei impressionado com o framework."
"5","01/06/2026","93","Gostaria de um material complementar sobre como monitorar agentes em ambiente produtivo."
"5","01/06/2026","93","A parte sobre memória dos agentes ficou confusa para mim. Precisaria de mais exemplos."
"5","01/06/2026","93","Ótima escolha trazer CrewAI antes do PydanticAI. A progressão fez muito sentido."
"5","01/06/2026","93","O exemplo prático foi muito bem elaborado e trouxe um caso de uso real e relevante."
"5","01/06/2026","93","Achei que a aula poderia ter uma seção de troubleshooting sobre os erros mais comuns do CrewAI."
"6","09/06/2026","91","PydanticAI resolveu um problema que eu tinha há meses com outputs inconsistentes de LLMs!"
"6","09/06/2026","91","A validação automática de tipos é exatamente o que faltava para usar IA com segurança em produção."
"6","09/06/2026","91","O conceito de output_type foi genial. Código mais limpo e seguro ao mesmo tempo."
"6","09/06/2026","91","Sou dev backend e adorei ver Pydantic sendo aplicado com IA. Muito familiar para quem usa FastAPI."
"6","09/06/2026","91","A curva de aprendizado do PydanticAI é maior que o CrewAI. Vale mesmo a pena?"
"6","09/06/2026","91","A comparação final entre LangChain, CrewAI e PydanticAI foi perfeita para fixar o aprendizado."
"6","09/06/2026","91","O retry automático quando o LLM erra o formato foi uma surpresa muito positiva!"
"6","09/06/2026","91","Gostaria de um projeto final integrando tudo que vimos ao longo do curso."
"6","09/06/2026","91","A professora explicou a diferença entre run() e run_sync() de forma muito clara e objetiva."
"6","09/06/2026","91","Adorei! Mas achei que poderíamos ter explorado mais o Pydantic v2 antes de entrar no PydanticAI."
"6","09/06/2026","91","Excelente aula de encerramento. Fechou muito bem todos os conceitos vistos no curso."
"6","09/06/2026","91","O exemplo de análise de NPS com output tipado foi muito elegante e bem elaborado."
"6","09/06/2026","91","Tive erro de importação no pydantic-ai. O suporte no Discord foi rápido, mas atrasou meu progresso."
"6","09/06/2026","91","A abstração que o PydanticAI oferece é incrível. Vou adotar nos meus projetos imediatamente."
"6","09/06/2026","91","Saí dessa aula com vontade de refatorar todo o meu código de IA para usar tipagem forte."
"6","09/06/2026","91","Muito bem estruturada. A progressão do curso foi excelente do começo ao fim."
"6","09/06/2026","91","A discussão sobre quando usar cada framework foi muito valiosa e baseada em experiência real."
"6","09/06/2026","91","Obrigado por um curso tão bem preparado e atualizado. Valeu cada minuto investido."
"6","09/06/2026","91","O nível técnico foi perfeito - nem muito básico nem muito avançado para quem está migrando de área."
"6","09/06/2026","91","Gostaria de uma aula bônus sobre deploy de aplicações de IA em produção com Docker."
"6","09/06/2026","91","Curso incrível! A Alura e o Santander entregaram muito mais do que eu esperava nessa imersão."
"6","09/06/2026","91","Fechamento perfeito. O curso mudou a forma como eu penso em desenvolvimento de software."
"6","09/06/2026","91","A professora foi extremamente competente e deixou o ambiente de aprendizado muito acolhedor."
"6","09/06/2026","91","O PydanticAI tem integração com FastAPI? Adoraria ver um exemplo de API com output validado."
"6","09/06/2026","91","A parte de Fields com descrições sendo enviadas ao LLM foi o detalhe mais surpreendente da aula."
"6","09/06/2026","91","Encerrando o curso muito mais preparado do que quando entrei. Objetivo completamente alcançado."
"6","09/06/2026","91","Seria ótimo ter uma comunidade ativa para continuar praticando depois que o curso terminar."
